question,answer,image_id
what is the green object on the floor,basket,image519
what is at the left of the candelabra,window,image1324
what is on the drawer,towel,image573
what is to right of bed,window,image515
what is behind the tissue roll,bottle_of_liquid,image820
what is the object behind the clothes,towel,image699
what is the object on top of the shelf frame,cup,image97
what is behind the cloth bag,stool,image176
how many door knobs are there,2,image1106
what is the largest object on the counter,grill,image137
what is found on the right side,refridgerator,image824
what is at the right top corner,cabinet,image1215
what object is found near the sink,bottle_of_hand_wash_liquid,image813
what is the largest object on the counter,microwave,image139
what is left of computer,utensil_container,image291
how many drawers does the night stand on the left side of the bed have,2,image1076
what is on the chair,pillow,image1309
what is to the left of the container,lamp,image627
what is on the left side of the microwave,refridgerator,image854
how many chairs in between draws,1,image749
what is on the chair,guitar_case,image1332
what is in front of the sofa,table,image588
how many beds are,2,image1117
what is the most frequent object in this picture,book,image87
what is the largest object,sofa,image14
what is in front of the bed,night_stand,image1033
what is behind the table,door,image1249
what are the objects on the shelf,books,image1141
what is the colour of the wall,white,image207
how many pictures are above the clock on the white second right cabinet,2,image13
what is the largest dark blue object in this picture,sofa,image445
what is the colour of the sofa,black,image1409
what is on the bed,clothes,image947
what is on the left side of the table,chair,image926
what color are the handles of the cabinets,pink,image862
what is the object on the hangers,jacket,image95
how many flowers are there in the flower vase,1,image812
what is found behind the sofa,vase,image1277
what is on the right side of the shelf,table,image979
what is on the right most side on the drawer table,"decorative_platter, bottle",image547
what is the largest black object,monitor,image63
what is in the container on the floor,stick,image496
what is on the first monitor on the left side,toy_doll,image114
what are the objects found on the cabinet,"books, photo, television",image1287
what is to the opposite side of the sofa,door_way,image1213
what is present above the picture on the wall,window,image1030
what is placed above the table,bag,image211
what is left of napkin,dishwasher,image574
what is at the right top,bunk_bed,image1054
how many plant pots are there,3,image758
what is on the bed on the left side of the bag,carton,image948
what is to the left of the bed,cabinet,image1066
what is on the right side of the sink,jug,image818
what is found above the electric mixer,storage_rack,image855
what is the object close to the middle counter table,stove,image908
what is on the left side of the window,curtain,image706
what is the on the hanger,towel,image504
what is the brown leather object on the right side of the bookshelf,chair,image384
what are objects below the bookshelf on top of the counter,"tape_dispenser, hole_puncher, paper_holder",image16
what is the object close to the tissue box,tissue,image1036
what is on the left side of the sink,kitchen_utensils,image750
what is the object on the dresser,tissue_box,image56
what is the table colour,brown,image1407
how many chairs are there,7,image1352
what are the objects found on the bottom right corner,"file, wallet",image906
what is the smallest brown object in this picture,lamp_shade,image79
what is on the right side of the exercise machine,television,image1218
how many monitors are there,3,image7
what is on the right side of the drawer,refridgerator,image1223
what is below the window near the sofa,pillow,image423
what is in between the air conditioner and the rack,hockey_stick,image80
what is the largest black object in this picture,sofa,image488
what object is,chair,image403
what is on the left side of the wall decoration,door,image798
what is on the chair,bag,image587
what is on the sofa,"toy, books",image445
what is in front of the glass,towel,image679
how many mugs are on the table in front of the wall,1,image42
what is leaning against the left rack,ladder,image86
what is on the window seater,books,image178
how many drawers are there,3,image1034
what is hanged on the middle of the wall,photo,image1271
what is the object on the floor left of the room divider,toilet,image728
what is on the table,"pen_cup, paper",image1069
how many knobs are there on the stove,4,image785
what are the objects close to the wall,"poster_board, hanger, fire_alarm, framed_certificate",image23
what is placed on table,laptop,image524
what is right of sofa,lamp,image283
how many red fire extinguisher are there on the white wall,1,image15
what are the show pieces in the shelves,"glass, container",image1326
what is found behind the cabinet,cabinet,image1187
how many chairs are there,8,image6
how many chairs are there,6,image809
what is at the corner of the room,lamp,image148
how many knobs are there,6,image688
how many brown paper bags are there on the floor,1,image61
what is the colour of the sheets,"pink, gray",image1126
what is to the left of the table,sofa,image383
how many chairs are there around the dining table,5,image1276
what is in front of the chair,table,image323
what is the colour of flower vase leaf near by cupboard,green,image789
what is to the right of the table,sofa,image1309
how many silver wash basins are there,2,image790
what are the objects on the bed,"pillow, blanket, clothes, jacket",image70
what is opposite to the television,sofa,image1317
what is behind the left of the sofa,game_table,image1239
what is at the left side,bed,image1152
what is there behind the television,remote_control,image1005
what is the decoration close to the wall,wall_decoration,image664
what is on the left side of the books,television,image1287
which object is large,sofa,image644
what is amidst the chairs and sofa,table,image1277
what is the colour of the sofa,brown,image424
what is held in the coffee machine,coffee_pot,image872
what is above the fan,window,image584
what are the objects on the table,"picture, lamp, flower_pot",image1427
what color are the bed sheets,red,image516
what is the colour of the bed,brown,image1142
what is on the right most side on the table,monitor,image829
what color is the frame of the window,white,image508
what is at the right top,lamp,image1267
what is the colour of the towel,pink,image690
how many knobs are there on the stove,4,image867
what are the things in the cabinet rack,"dvd_player, photo, toy",image1260
what is the only leather object in this room,chair,image612
what are the objects on the shelves,books,image104
what is the object on the counter,coffee_machine,image872
how many tables are there,3,image1402
what is behind the piano,bookshelf,image479
what is behind the kitchen,door,image568
how many steps are there,3,image95
what is the object on the table in the corner,lamp,image1021
what is the largest show piece,decorative_plate,image1293
what is on the clothes hanger,towel,image659
what object is found near the chair,broom,image831
